Acc_X	Acc_Y	Acc_Z	Mag_X	Mag_Y	Mag_Z	fall
9.602355957031250000	0.918579101562500000	-1.834106445312500000	-0.587646484375000000	-0.764404296875000000	0.687988281250000000	false
9.616756439208984375	0.832915306091308594	-1.792097091674804688	-0.587402343750000000	-0.766601562500000000	0.691162109375000000	false
9.600830078125000000	0.871276855468750000	-1.817321777343750000	-0.587402343750000000	-0.766845703125000000	0.685546875000000000	false
9.606409072875976562	0.863575935363769531	-1.817679405212402344	-0.587402343750000000	-0.766601562500000000	0.688232421875000000	false
9.597778320312500000	0.915527343750000000	-1.780700683593750000	-0.584716796875000000	-0.766845703125000000	0.687988281250000000	false
9.603571891784667969	0.839734077453613281	-1.765060424804687500	-0.587402343750000000	-0.766601562500000000	0.691162109375000000	false
9.585571289062500000	0.866699218750000000	-1.785278320312500000	-0.584716796875000000	-0.764404296875000000	0.685058593750000000	false
9.609699249267578125	0.859498977661132812	-1.842617988586425781	-0.590332031250000000	-0.764404296875000000	0.690917968750000000	false
9.596252441406250000	0.885009765625000000	-1.820373535156250000	-0.587646484375000000	-0.764404296875000000	0.687988281250000000	false
9.613060951232910156	0.866293907165527344	-1.879572868347167969	-0.587646484375000000	-0.764404296875000000	0.690917968750000000	false
9.588623046875000000	0.833129882812500000	-1.843261718750000000	-0.584960937500000000	-0.764404296875000000	0.696289062500000000	false
9.594941139221191406	0.845980644226074219	-1.819324493408203125	-0.590332031250000000	-0.764404296875000000	0.690917968750000000	false
9.614562988281250000	0.849914550781250000	-1.831054687500000000	-0.590332031250000000	-0.761962890625000000	0.693603515625000000	false
9.605741500854492188	0.832533836364746094	-1.858782768249511719	-0.590332031250000000	-0.759765625000000000	0.687744140625000000	false
9.616088867187500000	0.770568847656250000	-1.820373535156250000	-0.590576171875000000	-0.761962890625000000	0.696289062500000000	false
9.620165824890136719	0.849032402038574219	-1.780700683593750000	-0.590332031250000000	-0.761962890625000000	0.690673828125000000	false
9.594726562500000000	0.825500488281250000	-1.818847656250000000	-0.587646484375000000	-0.761962890625000000	0.693359375000000000	false
